section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (16),tooltip-row (27),tooltip-row (29),tooltip-row (37),tooltip-row (39),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59),ui-pillbox-summary (7),ui-state-default (43),ui-state-default (44),ui-state-default (45),ui-state-default (46),ui-state-default (47),ui-state-default (48),meeting (31),meeting (32),meeting (33),meeting (34),meeting (35),tooltip-row (61),tooltip-row (62),tooltip-row (63),tooltip-row (64),tooltip-row (65),tooltip-row (66),tooltip-row (67),tooltip-row (68),tooltip-row (69),tooltip-row (70),ui-pillbox-summary (8),ui-state-default (50),ui-state-default (51),ui-state-default (52),ui-state-default (53),ui-state-default (54),ui-state-default (55),meeting (36),meeting (37),meeting (38),meeting (39),meeting (40),tooltip-row (71),tooltip-row (72),tooltip-row (73),tooltip-row (74),tooltip-row (75),tooltip-row (76),tooltip-row (77),tooltip-row (78),tooltip-row (79),tooltip-row (80),readonly (11),readonly (12),status-full,status-waitlist
College Writing 2,Lecture,English - CPS,1107,06,3,40543,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"12 of 20 seats remain.
10 of 10 waitlist seats remain.",12,10,NU Core/NUpath 1st Yr Writing,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 1107,Lab,English - CPS,1108,01,1,40032,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"10 of 20 seats remain.
15 of 15 waitlist seats remain.",10,15,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 1107,Lab,English - CPS,1108,02,1,40033,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"1 of 20 seats remain.
15 of 15 waitlist seats remain.",1,15,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 1107,Lab,English - CPS,1108,04,1,40181,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"5 of 20 seats remain.
10 of 10 waitlist seats remain.",5,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 1107,Lab,English - CPS,1108,05,1,40309,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"3 of 20 seats remain.
10 of 10 waitlist seats remain.",3,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 1107,Lab,English - CPS,1108,06,1,40544,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"12 of 20 seats remain.
10 of 10 waitlist seats remain.",12,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing for the Professions: Science and Engineering,Lecture,English - CPS,3105,01,3,40190,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 297,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"5 of 18 seats remain.
10 of 10 waitlist seats remain.",5,10,NU Core/NUpath Adv Writ Dscpl,05,50,08,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing for the Professions: Science and Engineering,Lecture,English - CPS,3105,02,3,40211,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,10,NU Core/NUpath Adv Writ Dscpl,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
Writing for the Professions: Science and Engineering,Lecture,English - CPS,3105,03,3,40214,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"8 of 20 seats remain.
10 of 10 waitlist seats remain.",8,10,NU Core/NUpath Adv Writ Dscpl,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 3105,Lab,English - CPS,3106,01,1,40191,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"7 of 20 seats remain.
10 of 10 waitlist seats remain.",7,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 3105,Lab,English - CPS,3106,02,1,40212,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
Lab for ENG 3105,Lab,English - CPS,3106,03,1,40215,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"8 of 20 seats remain.
10 of 10 waitlist seats remain.",8,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing for the Professions: Business and the Social Sciences,Lecture,English - CPS,3107,01,3,40035,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: Snell Library,Room: 001,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"11 of 20 seats remain.
10 of 10 waitlist seats remain.",11,10,NU Core/NUpath Adv Writ Dscpl,05,50,08,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing for the Professions: Business and the Social Sciences,Lecture,English - CPS,3107,02,3,40100,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,10,NU Core/NUpath Adv Writ Dscpl,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
Writing for the Professions: Business and the Social Sciences,Lecture,English - CPS,3107,03,3,40118,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,10,NU Core/NUpath Adv Writ Dscpl,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
Writing for the Professions: Business and the Social Sciences,Lecture,English - CPS,3107,05,3,40182,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"15 of 20 seats remain.
10 of 10 waitlist seats remain.",15,10,NU Core/NUpath Adv Writ Dscpl,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing for the Professions: Business and the Social Sciences,Lecture,English - CPS,3107,06,3,40125,Thursday,M,T,W,F,S,T,02:50 PM - 05:20 PM,Building: Hastings Suite,Room: 105,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"2 of 20 seats remain.
10 of 10 waitlist seats remain.",2,10,NU Core/NUpath Adv Writ Dscpl,02,50,05,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 3107,Lab,English - CPS,3108,01,1,40066,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"11 of 20 seats remain.
15 of 15 waitlist seats remain.",11,15,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 3107,Lab,English - CPS,3108,02,1,40101,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,15,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 20 seats remain.,15 of 15 waitlist seats remain.
Lab for ENG 3107,Lab,English - CPS,3108,03,1,40156,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
Lab for ENG 3107,Lab,English - CPS,3108,05,1,40183,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"15 of 20 seats remain.
10 of 10 waitlist seats remain.",15,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for ENG 3107,Lab,English - CPS,3108,06,1,40126,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"2 of 20 seats remain.
10 of 10 waitlist seats remain.",2,10,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing to Inform and Persuade,Lecture,English - CPS,3260,01,3,40347,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"14 of 30 seats remain.
10 of 10 waitlist seats remain.",14,10,NUpath Writing Intensive,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Corporate Finance,Lecture,Finance - CPS,2105,02,3,40038,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.
Introduction to Corporate Finance,Lecture,Finance - CPS,2105,05,3,40093,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: 89 Broad Street,Room: 237,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"12 of 30 seats remain.
10 of 10 waitlist seats remain.",12,10,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Institutions and Markets,Lecture,Finance - CPS,3310,02,3,40129,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,NUpath Societies/Institutions,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Institutions and Markets,Lecture,Finance - CPS,3310,03,3,40120,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 296,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,NUpath Societies/Institutions,05,50,08,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Management and Insurance,Lecture,Finance - CPS,3330,02,3,40242,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Management and Insurance,Lecture,Finance - CPS,3330,03,3,40275,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Richards Hall,Room: 231,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,16 of 30 seats remain.,16,,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,Lecture,Finance - CPS,3340,01,3,40088,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,Lecture,Finance - CPS,3340,02,3,40382,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Cargill Hall,Room: 094,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,21 of 30 seats remain.,21,,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Finance,Lecture,Finance - CPS,4230,02,3,40276,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,14 of 30 seats remain.,14,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Financial Planning,Lecture,Finance - CPS,4240,01,3,40039,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Finance,Lecture,Finance - CPS,4250,01,3,40040,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Control of Manufacturing Processes,Lecture,General Engineering Tech - CPS,3100,01,3,40489,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Technology Capstone Project Execution,Seminar,General Engineering Tech - CPS,4850,01,4,40384,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,Low Enrollment,,,,,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUpath Writing Intensive,Lowell Institute School,,
Foundations of Healthcare Management,Lecture,Health Management - CPS,1100,01,3,40131,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"22 of 30 seats remain.
15 of 15 waitlist seats remain.",22,15,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthcare Operations,Lecture,Health Management - CPS,2100,01,3,40041,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,19 of 30 seats remain.,19,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Informatics,Lecture,Health Management - CPS,3210,01,3,40390,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,18 of 30 seats remain.,18,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk Management and Quality Assurance,Lecture,Health Management - CPS,3220,01,3,40042,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,21 of 30 seats remain.,21,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Health,Lecture,Health Management - CPS,3225,01,3,40043,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"21 of 30 seats remain.
5 of 5 waitlist seats remain.",21,5,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthcare Policy,Lecture,Health Management - CPS,4210,01,3,40249,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,21 of 30 seats remain.,21,,NUpath Societies/Institutions,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowell Institute School,,,
Nutrition,Lecture,Health Science - CPS,1200,01,3,40105,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,"3 of 30 seats remain.
5 of 5 waitlist seats remain.",3,5,NUpath Natural/Designed World,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemiology,Lecture,Health Science - CPS,3300,01,3,40082,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,27 of 30 seats remain.,27,,NUpath Analyzing/Using Data,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowell Institute School,,,
Project in Health Science,Lecture,Health Science - CPS,4850,01,3,40083,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,9 of 20 seats remain.,9,,NUpath Capstone Experience,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowell Institute School,XN Experiential Project,,
History of the World 1: Prehistory to the Renaissance,Lecture,History - CPS,1100,01,3,40204,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,NUpath Interpreting Culture,,,,,NUpath Societies/Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS-Programs-UG,,,
The World Since 1945,Lecture,History - CPS,2150,01,3,40370,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,18 of 30 seats remain.,18,,NUpath Difference/Diversity,,,,,NUpath Societies/Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS-Programs-UG,,,
Human Resources Management,Lecture,Human Resources Mgmt - CPS,2320,01,3,40162,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"6 of 30 seats remain.
10 of 10 waitlist seats remain.",6,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Individual Instruction,Human Resources Mgmt - CPS,6995,01,1,40576,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,,No Course Evaluation,,,,,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 1 seats remain.,
Introduction to Clinical Practice,Lecture,Human Services - CPS,2200,01,3,40277,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,"12 of 30 seats remain.
5 of 5 waitlist seats remain.",12,5,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Clinical Practice,Lecture,Human Services - CPS,2200,02,3,40491,"Tuesday,Thursday",M,W,F,S,,T,05:00 PM - 06:40 PM,Building: Graduate School of Business,Room: 110,Start Date: 01/06/2025,End Date: 04/26/2025,"Oakland, CA","19 of 20 seats remain.
5 of 5 waitlist seats remain.",19,5,CPS-Programs-UG,05,00,06,40,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Behavior in the Social Environment,Lecture,Human Services - CPS,2240,01,3,40184,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,11 of 30 seats remain.,11,,NUpath Societies/Institutions,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
