section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,readonly (11),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (33),ui-state-default (34),tooltip-row (47),tooltip-row (49),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (41),ui-state-default (42),tooltip-row (53),tooltip-row (55),tooltip-row (57),tooltip-row (59),status-bold (3),readonly (12)
Project Quality Management,Lecture,Project Management - CPS,6135,11,3,80514,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 605,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",,FULL,,Toronto program eligible,CPS-Leadership Programs GR 1,06,00,08,40,FULL: 0 of 30 seats remain.,,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Quality Management,Lecture,Project Management - CPS,6135,13,3,80515,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 606,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",,FULL,,Toronto program eligible,CPS-Leadership Programs GR 1,06,00,08,40,FULL: 0 of 30 seats remain.,,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Quality Management,Lecture,Project Management - CPS,6135,14,3,80584,Sunday,M,T,W,T,F,S,S,09:00 AM - 11:40 AM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 605,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",,FULL,,Toronto program eligible,CPS-Leadership Programs GR 1,09,00,11,40,FULL: 0 of 30 seats remain.,,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Quality Management,Lecture,Project Management - CPS,6135,20,3,80588,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Seattle, WA","15 of 30 seats remain.
10 of 10 waitlist seats remain.",15,10,"Seattle, WA program eligible",Seattle CPS-Ldrshp Prog GR 1,06,00,08,40,,,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Quality Management,Lecture,Project Management - CPS,6135,23,3,80709,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 903,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Silicon Valley, CA","11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,San Jose Eligible,CPS-Leadership Programs GR 1,06,00,08,40,,,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silicon Valley CPS Ldrshp Grad
Project Quality Management,Lecture,Project Management - CPS,6135,24,3,80717,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 138,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine",,FULL,10,Portland Maine Eligible,CPS-Leadership Programs GR 1,06,00,08,40,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Quality Management,Lecture,Project Management - CPS,6135,30,3,81022,Saturday,S,M,T,W,T,F,S,03:00 PM - 05:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 606,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",7 of 30 seats remain.,7,,CPS-Leadership Programs GR 1,CPS Digital Badge,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Quality Management,Lecture,Project Management - CPS,6135,31,3,81023,Saturday,S,M,T,W,T,F,S,12:00 PM - 02:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 605,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",,FULL,,CPS-Leadership Programs GR 1,CPS Digital Badge,12,00,02,40,FULL: 0 of 30 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Quality Management,Lecture,Project Management - CPS,6135,32,3,81268,Sunday,M,T,W,T,F,S,S,12:00 PM - 02:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 605,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",,FULL,,CPS-Leadership Programs GR 1,CPS Digital Badge,12,00,02,40,FULL: 0 of 30 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Quality Management,Lecture,Project Management - CPS,6135,33,3,81269,Sunday,M,T,W,T,F,S,S,03:00 PM - 05:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 605,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",,FULL,,CPS-Leadership Programs GR 1,CPS Digital Badge,03,00,05,40,FULL: 0 of 30 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Quality Management,Lecture,Project Management - CPS,6135,34,3,81345,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern Arlington Tower,Building:,Room: 1504,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Arlington, VA","22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,CPS-Leadership Programs GR 1,CPS Digital Badge,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Troubled Projects,Lecture,Project Management - CPS,6140,01,3,80199,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 242,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"4 of 20 seats remain.
10 of 10 waitlist seats remain.",4,10,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Project Management,Lecture,Project Management - CPS,6145,01,3,80031,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 221,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"3 of 24 seats remain.
10 of 10 waitlist seats remain.",3,10,CPS-Leadership Programs GR 1,XN Experiential Project,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Project Management,Lecture,Project Management - CPS,6145,08,3,80710,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Seattle, WA","26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,"Seattle, WA program eligible",Seattle CPS-Ldrshp Prog GR 1,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Project Management,Lecture,Project Management - CPS,6145,09,3,80711,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 1010,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Silicon Valley, CA","18 of 20 seats remain.
10 of 10 waitlist seats remain.",18,10,San Jose Eligible,CPS-Leadership Programs GR 1,06,00,08,40,,,Silicon Valley CPS Ldrshp Grad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Project Management,Lecture,Project Management - CPS,6145,11,3,81444,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 605,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada","22 of 30 seats remain.
6 of 6 waitlist seats remain.",22,6,CPS-Leadership Programs GR 1,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Resource Management,Lecture,Project Management - CPS,6175,01,3,81390,Tuesday,S,M,W,T,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 137,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Portland, Maine","1 of 30 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Leadership Programs GR 1,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Stakeholder Management,Lecture,Project Management - CPS,6180,01,3,80430,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 429,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,10,CPS-Leadership Programs GR 1,,05,50,08,30,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Innovation Projects,Lecture,Project Management - CPS,6185,04,3,81072,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 321,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,6,CPS-Professional Programs GR 2,,05,50,08,30,FULL: 0 of 30 seats remain.,6 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Innovation Projects,Lecture,Project Management - CPS,6185,05,3,81296,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"8 of 30 seats remain.
6 of 6 waitlist seats remain.",8,6,Toronto program eligible,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Innovation Projects,Lecture,Project Management - CPS,6185,06,3,81473,,,,,,,,,,,,,,,,,,,,Online,18 of 30 seats remain.,18,,Toronto program eligible,CPS-Professional Programs GR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading and Managing Technical Projects,Lecture,Project Management - CPS,6205,03,3,80206,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 238,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,,FULL,9,CPS-Leadership Programs GR 1,,05,50,08,30,FULL: 0 of 30 seats remain.,9 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading and Managing Technical Projects,Lecture,Project Management - CPS,6205,04,3,80325,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 108,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,8,CPS-Leadership Programs GR 1,,05,50,08,30,FULL: 0 of 30 seats remain.,8 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading and Managing Technical Projects,Lecture,Project Management - CPS,6205,08,3,80621,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,,FULL,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,FULL: 0 of 33 seats remain.,6 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading and Managing Technical Projects,Lecture,Project Management - CPS,6205,12,3,80718,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 138,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine","7 of 30 seats remain.
10 of 10 waitlist seats remain.",7,10,Portland Maine Eligible,CPS-Leadership Programs GR 1,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading and Managing Technical Projects,Lecture,Project Management - CPS,6205,13,3,81291,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"10 of 30 seats remain.
6 of 6 waitlist seats remain.",10,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Skills for Project Managers,Lecture,Project Management - CPS,6210,01,3,80173,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"3 of 30 seats remain.
10 of 10 waitlist seats remain.",3,10,"Charlotte, NC program eligible",Toronto program eligible,,,,,,,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Skills for Project Managers,Lecture,Project Management - CPS,6210,02,3,80207,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 207,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"1 of 27 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Skills for Project Managers,Lecture,Project Management - CPS,6210,03,3,80278,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 211,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"10 of 30 seats remain.
10 of 10 waitlist seats remain.",10,10,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Skills for Project Managers,Lecture,Project Management - CPS,6210,04,3,80604,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 138,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Portland, Maine","5 of 32 seats remain.
10 of 10 waitlist seats remain.",5,10,Roux Institute,Portland Maine Eligible,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Remote Project Teams,Lecture,Project Management - CPS,6215,05,3,80631,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,,FULL,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,FULL: 0 of 30 seats remain.,6 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Remote Project Teams,Lecture,Project Management - CPS,6215,09,3,80904,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Seattle, WA","27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,"Seattle, WA program eligible",Seattle CPS-Ldrshp Prog GR 1,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Remote Project Teams,Lecture,Project Management - CPS,6215,10,3,80911,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 1012,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Silicon Valley, CA","8 of 15 seats remain.
10 of 10 waitlist seats remain.",8,10,San Jose Eligible,CPS-Leadership Programs GR 1,06,00,08,40,,,Silicon Valley CPS Ldrshp Grad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Remote Project Teams,Lecture,Project Management - CPS,6215,11,3,81446,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 159,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Project Business Analysis,Lecture,Project Management - CPS,6610,01,3,80345,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 237,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,,FULL,10,CPS-Leadership Programs GR 1,,05,50,08,30,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Project Business Analysis,Lecture,Project Management - CPS,6610,03,3,80446,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 105,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"1 of 20 seats remain.
5 of 10 waitlist seats remain.
Open Seats Reserved for Waitlisted Only.",1,5,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Seats Reserved for Waitlisted Only.,
Foundations of Project Business Analysis,Lecture,Project Management - CPS,6610,07,3,80630,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"1 of 33 seats remain.
6 of 6 waitlist seats remain.",1,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Project Business Analysis,Lecture,Project Management - CPS,6610,12,3,81234,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,Building: 225 Terry Ave,Building:,Room: 111,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Seattle, WA","2 of 5 seats remain.
1 of 1 waitlist seats remain.",2,1,CPS-Leadership Programs GR 1,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Project Business Analysis,Lecture,Project Management - CPS,6610,13,3,81235,Monday,S,T,W,T,F,S,M,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 1010,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Silicon Valley, CA","16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,CPS-Leadership Programs GR 1,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Project Business Analysis,Lecture,Project Management - CPS,6610,15,3,81391,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: ENOOK,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Portland, Maine","12 of 21 seats remain.
10 of 10 waitlist seats remain.",12,10,CPS-Leadership Programs GR 1,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategy Analysis and Needs Assessment,Lecture,Project Management - CPS,6620,01,3,80431,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 125,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"6 of 24 seats remain.
10 of 10 waitlist seats remain.",6,10,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategy Analysis and Needs Assessment,Lecture,Project Management - CPS,6620,06,3,80632,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,,FULL,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,FULL: 0 of 30 seats remain.,6 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategy Analysis and Needs Assessment,Lecture,Project Management - CPS,6620,08,3,80967,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"24 of 30 seats remain.
6 of 6 waitlist seats remain.",24,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
