section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),status-full,status-bold,readonly (8),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (11),status-waitlist,status-bold (2),readonly (12),readonly (13),readonly (14),readonly (15),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Concepts in Practice 2,Seminar,Pharmacy Practice,5192,02,1,61169,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 04:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 126,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,6,GSBV Bouve,,01,30,04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepts in Practice 2,Seminar,Pharmacy Practice,5192,03,1,61170,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 04:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 128,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,FULL: 0 of 21 seats remain.,FULL,GSBV Bouve,,01,30,04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepts in Practice 2,Seminar,Pharmacy Practice,5192,04,1,61171,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 04:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 154,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,FULL: 0 of 21 seats remain.,FULL,GSBV Bouve,,01,30,04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Drug Information,Lecture,Pharmacy Practice,5560,01,2,61832,Thursday,S,M,T,W,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,FULL: 0 of 16 seats remain.,FULL,NU Core Writing Intsv in Majr,NUpath Writing Intensive,01,30,05,00,Bouve Health Sci,15 of 16 waitlist seats remain.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Drug Information,Lecture,Pharmacy Practice,5560,02,2,61944,Thursday,S,M,T,W,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,7,NU Core Writing Intsv in Majr,NUpath Writing Intensive,01,30,05,00,Bouve Health Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hematol & Oncol Pharmacother,Lecture,Pharmacy Practice,5880,01,2,61845,Thursday,S,M,T,W,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 222,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,FULL: 0 of 28 seats remain.,FULL,GSBV Bouve,Topics Course,01,30,05,00,,5 of 5 waitlist seats remain.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed Study,Individual Instruction,Pharmacy Practice,5976,01,2,61927,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,4,GSBV Bouve,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Contemporary Moral Issues,Lecture,Philosophy,1102,01,4,60318,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 35 seats remain.,FULL,NUpath Ethical Reasoning,NU Core Humanities Lvl 1,,,,,NUpath Societies/Institutions,,,NU Accelerate Program Course,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology and Human Values,Lecture,Philosophy,1145,02,4,61159,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 015,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,6,NUpath Ethical Reasoning,NU Core Humanities Lvl 1,01,30,05,00,NUpath Societies/Institutions,,10,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moral and Social Problems in Healthcare,Lecture,Philosophy,1165,01,4,60180,"Tuesday,Thursday",S,M,W,T,T,F,S,08:00 AM - 11:30 AM,Type: Class,Type:,Building: Snell Library,Building:,Room: 015,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,13,NUpath Ethical Reasoning,NU Core Humanities Lvl 1,08,00,11,30,NUpath Societies/Institutions,,10,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Ethics,Lecture,Philosophy,1180,01,4,60881,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 129,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,27,NUpath Ethical Reasoning,NU Core Humanities Lvl 1,01,30,03,10,NUpath Societies/Institutions,,10,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Ethics,Lecture,Philosophy,1195,01,4,60909,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 35 seats remain.,FULL,NUpath Ethical Reasoning,NU Core Humanities Lvl 1,,,,,NUpath Societies/Institutions,1 of 10 waitlist seats remain.,1,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apocalypticism in Film,Lecture,Philosophy,1260,01,4,60699,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 35 seats remain.,FULL,NU Core Comp Stdy of Cultures,NUpath Difference/Diversity,,,,,NU Core Humanities Lvl 1,0 of 10 waitlist seats remain.,0,NUpath Interpreting Culture,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sex in Judaism, Christianity, and Islam",Lecture,Philosophy,1271,01,4,61798,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 35 seats remain.,FULL,NU Core Comp Stdy of Cultures,NUpath Difference/Diversity,,,,,NUpath Ethical Reasoning,,,NU Core Humanities Lvl 1,UG Col Socl Sci & Humanities,Crosslisted Course,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Physical Therapy,Lecture,Physical Therapy,5101,01,3,60449,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 03:50 PM,Type: Class,Type:,Building: Mugar Life Science Building,Building:,Room: 201,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,15,GSBV Bouve,,01,30,03,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PT 5101,Lab,Physical Therapy,5102,01,1,60450,"Monday,Wednesday",S,T,T,M,W,F,S,04:00 PM - 06:00 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 225,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,FULL: 0 of 25 seats remain.,FULL,GSBV Bouve,,04,00,06,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PT 5101,Lab,Physical Therapy,5102,02,1,60561,"Monday,Wednesday",S,T,T,M,W,F,S,04:00 PM - 06:00 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 405,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,FULL: 0 of 25 seats remain.,FULL,GSBV Bouve,,04,00,06,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PT 5101,Lab,Physical Therapy,5102,03,1,60562,"Monday,Wednesday",S,T,T,M,W,F,S,04:00 PM - 06:00 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 410,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,FULL: 0 of 25 seats remain.,FULL,GSBV Bouve,,04,00,06,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PT 5101,Lab,Physical Therapy,5102,04,1,60563,"Monday,Wednesday",S,T,T,M,W,F,S,04:00 PM - 06:00 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 415,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,15,GSBV Bouve,,04,00,06,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pathology,Lecture,Physical Therapy,5140,01,4,60911,"Monday,Wednesday",S,T,T,M,W,F,S,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 201,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,28,GSBV Bouve,,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychosocial Aspects of Healthcare,Lecture,Physical Therapy,5160,01,3,60451,Thursday,S,M,T,W,T,F,S,01:30 PM - 03:30 PM,Type: Class,Type:,Building: West Village G,Building:,Room: 104,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,FULL: 0 of 55 seats remain.,FULL,GSBV Bouve,NU Core Comp Stdy of Cultures,01,30,03,30,NUpath Ethical Reasoning,,,NU Core Writing Intsv in Majr,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychosocial Aspects of Healthcare,Lecture,Physical Therapy,5160,02,3,60579,Thursday,S,M,T,W,T,F,S,01:30 PM - 03:30 PM,Type: Class,Type:,Building: Robinson Hall,Building:,Room: 109,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,25,GSBV Bouve,NU Core Comp Stdy of Cultures,01,30,03,30,NUpath Ethical Reasoning,,,NU Core Writing Intsv in Majr,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacology for Physical Therapy,Lecture,Physical Therapy,5500,01,2,60912,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,28,GSBV Bouve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiovascular and Pulmonary Management,Lecture,Physical Therapy,5503,01,4,60913,"Monday,Wednesday",S,T,T,M,W,F,S,08:00 AM - 09:40 AM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 201,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,28,GSBV Bouve,,08,00,09,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PT 5503,Lab,Physical Therapy,5504,01,1,60914,"Monday,Wednesday",S,T,T,M,W,F,S,01:00 PM - 03:30 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,8,GSBV Bouve,,01,00,03,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PT 5503,Lab,Physical Therapy,5504,02,1,60915,"Monday,Wednesday",S,T,T,M,W,F,S,01:00 PM - 03:30 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,21,GSBV Bouve,,01,00,03,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed Study,Individual Instruction,Physical Therapy,5976,01,1,61455,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,2,GSBV Bouve,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed Study,Individual Instruction,Physical Therapy,5976,02,1 TO 4,61665,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,2,GSBV Bouve,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Anatomy 1,Lecture,Physical Therapy,6330,01,2,60452,"Monday,Wednesday,Thursday",S,T,F,M,W,T,S,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Shillman Hall,Building:,Room: 135,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,15,GSBV Bouve,,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PT 6330,Lab,Physical Therapy,6331,01,1,60453,Tuesday,S,M,W,T,T,F,S,08:00 AM - 09:55 AM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 625,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,FULL: 0 of 25 seats remain.,FULL,GSBV Bouve,,08,00,09,55,,,,,,,,,Tuesday,S,M,W,T,T,F,S,10:00 AM - 12:00 PM,10,00,12,00,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 625,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:
Lab for PT 6330,Lab,Physical Therapy,6331,02,1,60454,Tuesday,S,M,W,T,T,F,S,08:00 AM - 09:55 AM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 225,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,12,GSBV Bouve,,08,00,09,55,,,,,,,,,Tuesday,S,M,W,T,T,F,S,10:00 AM - 12:00 PM,10,00,12,00,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 225,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:
Lab for PT 6330,Lab,Physical Therapy,6331,03,1,60564,Tuesday,S,M,W,T,T,F,S,12:30 PM - 02:25 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 625,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,1,GSBV Bouve,,12,30,02,25,,,,,,,,,Tuesday,S,M,W,T,T,F,S,02:30 PM - 04:30 PM,02,30,04,30,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 625,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:
Lab for PT 6330,Lab,Physical Therapy,6331,04,1,60565,Tuesday,S,M,W,T,T,F,S,12:30 PM - 02:25 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 225,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,2,GSBV Bouve,,12,30,02,25,,,,,,,,,Tuesday,S,M,W,T,T,F,S,02:30 PM - 04:30 PM,02,30,04,30,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 225,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:
Co-op Work Experience,Individual Instruction,Physical Therapy,6964,01,0,60644,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,40,GSBV Bouve,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics for Life Sciences 1,Lecture,Physics,1145,01,4,60890,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: West Village H,Building:,Room: 108,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,3,NUpath Natural/Designed World,NU Core Science/Tech Lvl 1,09,50,11,30,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1145,Lab,Physics,1146,01,1,60891,Thursday,S,M,T,W,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1145,Lab,Physics,1146,02,1,60892,Thursday,S,M,T,W,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1145,Lab,Physics,1146,03,1,60893,Thursday,S,M,T,W,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1145,Lab,Physics,1146,04,1,60894,Tuesday,S,M,W,T,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1145,Lab,Physics,1146,05,1,60895,Thursday,S,M,T,W,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1145,Lab,Physics,1146,06,1,60896,Thursday,S,M,T,W,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics for Life Sciences 2,Lecture,Physics,1147,01,4,60011,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Cargill Hall,Building:,Room: 097,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,NUpath Natural/Designed World,UG College of Science,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1147,Lab,Physics,1148,01,1,60150,Wednesday,S,M,T,W,T,F,S,08:00 AM - 10:50 AM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,08,00,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1147,Lab,Physics,1148,02,1,60006,Wednesday,S,M,T,W,T,F,S,08:00 AM - 10:50 AM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,08,00,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1147,Lab,Physics,1148,03,1,60005,Wednesday,S,M,T,W,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1147,Lab,Physics,1148,04,1,60466,Wednesday,S,M,T,W,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1147,Lab,Physics,1148,05,1,60004,Wednesday,S,M,T,W,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1147,Lab,Physics,1148,06,1,60003,Wednesday,S,M,T,W,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1147,Lab,Physics,1148,07,1,60472,Wednesday,S,M,T,W,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1147,Lab,Physics,1148,08,1,60475,Wednesday,S,M,T,W,T,F,S,08:00 AM - 10:50 AM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,08,00,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1147,Lab,Physics,1148,09,1,61417,Wednesday,S,M,T,W,T,F,S,08:00 AM - 10:50 AM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,08,00,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics for Engineering 1,Lecture,Physics,1151,01,3,60032,"Monday,Wednesday",S,T,T,M,W,F,S,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 222,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,9,NUpath Natural/Designed World,NU Core Science/Tech Lvl 1,09,50,11,30,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1151,Lab,Physics,1152,01,1,60031,Tuesday,S,M,W,T,T,F,S,12:00 PM - 02:50 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,4,NUpath Analyzing/Using Data,UG College of Science,12,00,02,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1151,Lab,Physics,1152,02,1,60007,Tuesday,S,M,W,T,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 10 seats remain.,FULL,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHYS 1151,Lab,Physics,1152,03,1,60334,Tuesday,S,M,W,T,T,F,S,03:20 PM - 06:10 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 319,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,2,NUpath Analyzing/Using Data,UG College of Science,03,20,06,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive Learning Seminar for PHYS 1151,Seminar,Physics,1153,01,1,60116,"Tuesday,Thursday",S,M,W,T,T,F,S,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 222,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,12,UG College of Science,,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Physics,Lecture,Physics,2303,01,4,60462,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 231,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,30,NUpath Natural/Designed World,UG College of Science,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Physics Laboratory,Lab,Physics,3600,01,4,60145,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Dana Research Center,Building:,Room: 230,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,9,NUpath Analyzing/Using Data,NUpath Natural/Designed World,11,40,01,20,NU Core Writing Intsv in Majr,,,NUpath Writing Intensive,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Physics Laboratory,Lab,Physics,3600,02,4,60455,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Dana Research Center,Building:,Room: 230,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,10,NUpath Analyzing/Using Data,NUpath Natural/Designed World,01,30,03,10,NU Core Writing Intsv in Majr,,,NUpath Writing Intensive,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,
