section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (7),status-full,status-bold,readonly (8),readonly (10),status-bold (2),status-waitlist,ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),readonly (11),readonly (12),readonly (13),readonly (14),readonly (15),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),readonly (16),readonly (17),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),ui-state-default (35),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59)
Number Theory 1,Lecture,Mathematics,3527,01,4,31586,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Building: Snell Library,Room: 013,Start Date: 01/06/2025,End Date: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,,2,NU Core Math/Anly Think Lvl 2,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number Theory 1,Lecture,Mathematics,3527,02,4,32433,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:30 AM - 11:35 AM,10,30,11,35,Type: Class,Building: Robinson Hall,Room: 109,Start Date: 01/06/2025,End Date: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,,9,NU Core Math/Anly Think Lvl 2,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combinatorial Mathematics,Lecture,Mathematics,3533,01,4,30485,Wednesday,S,W,M,M,W,T,T,01:00 PM - 03:00 PM,01,00,03,00,Type: Final Exam,Building: Cullinane Building,Room: 105,Start Date: 04/23/2025,End Date: 04/23/2025,"Monday,Wednesday,Thursday",F,S,S,T,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 109,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,Boston,FULL: 0 of 18 seats remain.,FULL,NU Core Math/Anly Think Lvl 2,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numerical Methods with Applications to Differential Equations,Lecture,Mathematics,3535,01,4,34318,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Building: Ryder Hall,Room: 435,Start Date: 01/06/2025,End Date: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,,9,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dynamics, Chaos, and Fractals",Lecture,Mathematics,3543,01,4,40483,Wednesday,S,W,M,M,W,T,T,01:00 PM - 03:00 PM,01,00,03,00,Type: Final Exam,Building: Forsyth Building,Room: 235,Start Date: 04/23/2025,End Date: 04/23/2025,"Monday,Wednesday,Thursday",F,S,S,T,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Type:,Building: Richards Hall,Building:,Room: 275,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,Boston,,2,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Capstone,Seminar,Mathematics,4020,01,4,34763,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,09:15 AM - 10:20 AM,09,15,10,20,Type: Class,Building: Ryder Hall,Room: 247,Start Date: 01/06/2025,End Date: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,,5,NU Core Capstone,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Mathematics Capstone,Seminar,Mathematics,4025,01,4,30826,"Monday,Wednesday",S,M,T,W,,T,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Building: West Village H,Room: 108,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,FULL: 0 of 35 seats remain.,FULL,NU Core Capstone,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number Theory 2,Lecture,Mathematics,4527,01,4,37627,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:30 AM - 11:35 AM,10,30,11,35,Type: Class,Building: Richards Hall,Room: 165,Start Date: 01/06/2025,End Date: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,,25,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourier Series and PDEs,Lecture,Mathematics,4545,01,4,31740,"Wednesday,Friday",S,W,M,F,,T,T,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Ryder Hall,Room: 296,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,FULL: 0 of 30 seats remain.,FULL,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourier Series and PDEs,Lecture,Mathematics,4545,02,4,40499,"Tuesday,Friday",S,T,M,F,,W,T,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Building: Ryder Hall,Room: 247,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,FULL: 0 of 30 seats remain.,FULL,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complex Variables,Lecture,Mathematics,4555,01,4,32567,"Monday,Wednesday",S,M,T,W,,T,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Building: Snell Library,Room: 001,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,1,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matrix Methods in Data Analysis and Machine Learning,Lecture,Mathematics,4570,01,4,34319,"Monday,Thursday",S,M,T,T,,W,F,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Snell Library,Room: 035,Start Date: 01/06/2025,End Date: 04/15/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,2,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matrix Methods in Data Analysis and Machine Learning,Lecture,Mathematics,4570,02,4,41408,Tuesday,S,T,M,T,,W,T,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Forsyth Building,Room: 151,Start Date: 01/06/2025,End Date: 04/15/2025,Thursday,F,S,S,M,T,W,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 151,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,Boston,,28,UG College of Science,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Linear Algebra,Lecture,Mathematics,4571,01,4,34392,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,04:35 PM - 05:40 PM,04,35,05,40,Type: Class,Building: Snell Library,Room: 115,Start Date: 01/06/2025,End Date: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,FULL: 0 of 36 seats remain.,FULL,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Cryptography,Lecture,Mathematics,4575,01,4,39413,Tuesday,S,T,M,M,W,W,T,08:00 AM - 10:00 AM,08,00,10,00,Type: Final Exam,Building: Snell Library,Room: 047,Start Date: 04/22/2025,End Date: 04/22/2025,"Monday,Wednesday",F,S,S,T,T,F,S,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 140,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,Boston,,22,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rings and Fields,Lecture,Mathematics,4576,01,4,32167,"Monday,Thursday",S,M,T,T,F,W,F,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Ryder Hall,Room: 128,Start Date: 01/06/2025,End Date: 04/15/2025,Friday,S,S,M,T,W,T,S,01:00 PM - 03:00 PM,01,00,03,00,Type: Final Exam,Type:,Building: Kariotis Hall,Building:,Room: 308,Room:,Start Date: 04/25/2025,Start Date:,End Date: 04/25/2025,End Date:,Boston,,17,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics and Stochastic Processes,Lecture,Mathematics,4581,01,4,30464,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Building: Kariotis Hall,Room: 309,Start Date: 01/06/2025,End Date: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,,7,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics and Stochastic Processes,Lecture,Mathematics,4581,02,4,31443,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:30 AM - 11:35 AM,10,30,11,35,Type: Class,Building: Kariotis Hall,Room: 309,Start Date: 01/06/2025,End Date: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,,12,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geometry 1,Lecture,Mathematics,5122,01,4,40539,"Monday,Wednesday",S,M,T,W,,T,F,01:00 PM - 02:40 PM,01,00,02,40,Type: Class,Building: Nightingale Hall,Room: 544,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,5,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Mathematical Methods and Modeling,Lecture,Mathematics,5131,01,4,40086,"Monday,Wednesday",S,M,T,W,,T,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Building: Ryder Hall,Room: 247,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,10,GS College of Science,NU Core Capstone,,,,,,,,,,,,,,,,,,,,,,,,,NUpath Capstone Experience,NU Core Writing Intsv in Majr,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum Computation and Information,Lecture,Mathematics,5352,01,4,39414,Thursday,S,T,M,W,F,T,W,08:00 AM - 10:00 AM,08,00,10,00,Type: Final Exam,Building: West Village H,Room: 110,Start Date: 04/17/2025,End Date: 04/17/2025,"Wednesday,Friday",F,S,S,M,T,T,S,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Type:,Building: Robinson Hall,Building:,Room: 109,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/15/2025,End Date:,Boston,FULL: 0 of 21 seats remain.,FULL,GS College of Science,Crosslisted Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numerical Analysis 1,Lecture,Mathematics,7203,01,4,35264,"Tuesday,Thursday",S,T,M,T,,W,F,05:50 PM - 07:30 PM,05,50,07,30,Type: Class,Building: Shillman Hall,Room: 210,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,26,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riemannian Optimization,Lecture,Mathematics,7223,01,4,40864,"Tuesday,Friday",S,T,M,F,,W,T,03:25 PM - 05:05 PM,03,25,05,05,Type: Class,Building: Hastings Suite,Room: 205,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,8,GS College of Science,Crosslisted Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimization and Complexity,Lecture,Mathematics,7234,01,4,39415,"Tuesday,Thursday",S,T,M,T,,W,F,05:50 PM - 07:30 PM,05,50,07,30,Type: Class,Building: Hayden Hall,Room: 425,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,17,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning and Statistical Learning Theory 1,Lecture,Mathematics,7243,01,4,32630,"Monday,Thursday",S,M,T,T,,W,F,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Snell Library,Room: 119,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,15,GS College of Science,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lie Algebras,Lecture,Mathematics,7316,01,4,41700,"Tuesday,Thursday",S,T,M,T,,W,F,09:00 AM - 10:40 AM,09,00,10,40,Type: Class,Building: Nightingale Hall,Room: 544,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,5,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Algebraic Geometry,Lecture,Mathematics,7320,01,4,41634,Thursday,S,T,M,W,,T,W,10:50 AM - 12:30 PM,10,50,12,30,Type: Class,Building: Nightingale Hall,Room: 544,Start Date: 01/06/2025,End Date: 04/26/2025,Wednesday,F,S,S,M,T,T,F,05:40 PM - 07:10 PM,05,40,07,10,Type: Class,Type:,Building: Nightingale Hall,Building:,Room: 544,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/26/2025,End Date:,Boston,,14,GS College of Science,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrete Geometry 2,Lecture,Mathematics,7335,01,4,41625,"Monday,Wednesday",S,M,T,W,,T,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Building: Lake Hall,Room: 509,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,14,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability and Measure,Lecture,Mathematics,7338,01,4,38457,"Tuesday,Thursday",S,T,M,T,,W,F,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Building: Nightingale Hall,Room: 544,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,17,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning and Statistical Learning Theory 2,Lecture,Mathematics,7339,01,4,35265,"Monday,Wednesday",S,M,T,W,,T,F,05:50 PM - 07:30 PM,05,50,07,30,Type: Class,Building: Richards Hall,Room: 241,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,8,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics for Bioinformatics,Lecture,Mathematics,7340,01,4,31805,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,FULL: 0 of 30 seats remain.,FULL,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics for Bioinformatics,Lecture,Mathematics,7340,02,4,35740,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,1,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics for Bioinformatics,Lecture,Mathematics,7340,03,4,40084,Wednesday,S,W,M,,,T,T,05:30 PM - 08:30 PM,05,30,08,30,Type: Class,Building: First Canadian Place,Room: 004,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Toronto, Canada",,7,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics for Bioinformatics,Lecture,Mathematics,7340,04,4,40211,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,FULL: 0 of 30 seats remain.,FULL,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probability 2,Lecture,Mathematics,7341,01,4,40515,"Tuesday,Thursday",S,T,M,T,,W,F,04:00 PM - 05:40 PM,04,00,05,40,Type: Class,Building: Nightingale Hall,Room: 544,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,10,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Statistics,Lecture,Mathematics,7343,01,4,32573,"Monday,Wednesday",S,M,T,W,,T,F,05:50 PM - 07:30 PM,05,50,07,30,Type: Class,Building: Hurtig Hall,Room: 224,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,FULL: 0 of 25 seats remain.,FULL,GS College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics in Algebraic Geometry,Lecture,Mathematics,7363,01,4,40980,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,09:15 AM - 10:20 AM,09,15,10,20,Type: Class,Building: Behrakis Health Sciences Cntr,Room: 210,Start Date: 01/06/2025,End Date: 04/26/2025,,,,,,,,,,,,,,,,,,,,,,,,Boston,,10,GS College of Science,Topics Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics in Topology,Lecture,Mathematics,7375,01,4,40852,"Monday,Wednesday",S,M,T,W,,T,F,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Nightingale Hall,Room: 544,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,11,GS College of Science,Topics Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics in Combinatorics,Lecture,Mathematics,7381,01,4,42002,"Monday,Wednesday",S,M,T,W,,T,F,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Building: Ryder Hall,Room: 245,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,3,GS College of Science,Topics Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readings in Topology,Individual Instruction,Mathematics,7721,01,4,42197,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,3,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readings in Algebra,Individual Instruction,Mathematics,7734,02,4,41518,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,3,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readings in Algebra,Individual Instruction,Mathematics,7734,03,4,41885,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,4,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readings in Algebra,Individual Instruction,Mathematics,7734,04,4,41974,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,4,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readings in Algebra,Individual Instruction,Mathematics,7734,05,4,42068,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,3,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readings in Probability and Statistics,Individual Instruction,Mathematics,7741,01,4,41743,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readings in Partial Differential Equations,Individual Instruction,Mathematics,7755,01,4,40872,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,6,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readings in Partial Differential Equations,Individual Instruction,Mathematics,7755,02,4,41768,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,1,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readings in Geometry,Individual Instruction,Mathematics,7771,01,4,40867,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",,5,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elective,Individual Instruction,Mathematics,7962,01,1 TO 4,39048,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GS College of Science,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
